Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Iconoclasts,23/1/2018,Konjak,Bifrost Entertainment,Metroidvania,Rated T For Teen,7.2,78,"PlayStation 4, PC, PlayStation Vita, Nintendo Switch, Xbox One","83, 87, tbd, 87, tbd","Based on 24 Critic Reviews, Based on 23 Critic Reviews, Based on 1 Critic Review, Based on 9 Critic Reviews, Based on 1 Critic Review"
Anonymous;Code,8/9/2023,5pb,Spike Chunsoft,Visual Novel,Rated M For Mature,7.8,6,"PlayStation 4, Nintendo Switch, PC","81, 86, tbd","Based on 4 Critic Reviews, Based on 12 Critic Reviews, Based on 1 Critic Review"
Song of the Deep,12/7/2016,Insomniac Games,GameTrust,Action Adventure,Rated E For Everyone,7.5,52,"PlayStation 4, PC, Xbox One","69, 71, 66","Based on 41 Critic Reviews, Based on 15 Critic Reviews, Based on 12 Critic Reviews"
Football Manager 2017,4/11/2016,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,5.4,136,PC,80,Based on 49 Critic Reviews
CONSORTIUM,8/1/2014,Interdimensional Games Inc,Interdimensional Games Inc,Action Adventure,Not Rated,7.2,59,PC,66,Based on 14 Critic Reviews
Mercenaries Saga Chronicles,8/2/2018,RideonJapan,CIRCLE Entertainment,Compilation,Rated T For Teen,7.8,17,Nintendo Switch,68,Based on 10 Critic Reviews
Star Wars Episode II: Attack of the Clones,30/5/2002,David A. Palmer Productions,THQ,Action Adventure,Rated E For Everyone,3.2,12,Game Boy Advance,38,Based on 14 Critic Reviews
Foregone,13/10/2020,Big Blue Bubble Inc.,Big Blue Bubble Inc.,2D Platformer,Not Rated,7.8,9,"PC, Xbox One, PlayStation 4, Nintendo Switch","71, 80, 64, 70","Based on 8 Critic Reviews, Based on 9 Critic Reviews, Based on 7 Critic Reviews, Based on 13 Critic Reviews"
Rock of Ages 3: Make & Break,21/7/2020,ACE Team,Modus Games,Defense,Rated T For Teen,5.4,17,"PlayStation 4, PC, Xbox One, Nintendo Switch","65, 72, 74, 64","Based on 9 Critic Reviews, Based on 15 Critic Reviews, Based on 7 Critic Reviews, Based on 11 Critic Reviews"
Pathfinder: Kingmaker,25/9/2018,Owlcat Games,Deep Silver,Western RPG,Not Rated,7.4,611,PC,73,Based on 34 Critic Reviews
Naval War: Arctic Circle,10/4/2012,Turbo Tape Games,Paradox Interactive,Real-Time Strategy,Rated RP For Rate Pending,5.8,23,PC,64,Based on 15 Critic Reviews
DropMix,20/9/2017,Harmonix Music Systems,Hasbro Interactive,Board,Not Rated,6.8,14,iOS (iPhone/iPad),82,Based on 11 Critic Reviews
Supreme Commander: Forged Alliance,6/11/2007,Gas Powered Games,THQ,Command RTS,Rated E +10 For Everyone +10,8.7,234,PC,81,Based on 35 Critic Reviews
Big Beach Sports,24/6/2008,HB Studios Multimedia,THQ,Sports,Rated E For Everyone,4.7,6,Wii,44,Based on 17 Critic Reviews
Danganronpa: Trigger Happy Havoc,11/2/2014,Spike Chunsoft,NIS America,Visual Novel,Rated M For Mature,8.7,382,"PlayStation Vita, PC, iOS (iPhone/iPad)","80, 82, tbd","Based on 55 Critic Reviews, Based on 10 Critic Reviews, Based on 3 Critic Reviews"
Elden Ring,25/2/2022,From Software,Bandai Namco Games,Action RPG,Rated M For Mature,8,14265,"PC, PlayStation 4, Xbox Series X, PlayStation 5","94, tbd, 96, 96","Based on 63 Critic Reviews, Based on 1 Critic Review, Based on 19 Critic Reviews, Based on 93 Critic Reviews"
Silent Hill: Downpour,13/3/2012,Vatra,Konami,Survival,Rated M For Mature,6.9,342,"PlayStation 3, Xbox 360","64, 68","Based on 41 Critic Reviews, Based on 38 Critic Reviews"
Mario Golf: World Tour,2/5/2014,Camelot Software Planning,Nintendo,Golf,Rated E For Everyone,8.1,96,3DS,78,Based on 73 Critic Reviews
Paladins: Champions of the Realm,12/6/2018,Hi-Rez Studios,Hi-Rez Studios,Tactical FPS,Rated T For Teen,7.2,130,"PC, Nintendo Switch","83, 74","Based on 6 Critic Reviews, Based on 14 Critic Reviews"
Elevator Action Deluxe,30/8/2011,,,2D Platformer,Rated T For Teen,6,6,PlayStation 3,54,Based on 7 Critic Reviews
Naruto Shippuden: Legends: Akatsuki Rising,6/10/2009,Racjin,Namco Bandai Games,Action,Rated T For Teen,5.5,16,PSP,60,Based on 15 Critic Reviews
Puzzle Arcade,24/12/2008,Ctxm/Say Design,Eidos Interactive,Puzzle,Rated E For Everyone,5,,Xbox 360,49,Based on 8 Critic Reviews
Supersonic Acrobatic Rocket-Powered Battle-Cars,9/10/2008,Psyonix,Psyonix,Action,Rated E For Everyone,7.2,61,PlayStation 3,67,Based on 16 Critic Reviews
A Virus Named TOM,1/8/2012,Misfits Attic,Misfits Attic,Action Puzzle,Not Rated,6.2,62,"PC, PlayStation Vita","65, tbd","Based on 9 Critic Reviews, Based on 2 Critic Reviews"
Viewtiful Joe: Red Hot Rumble,8/11/2005,Clover Studio,Capcom,2D Beat-'Em-Up,Rated T For Teen,6.3,6,"PSP, GameCube","63, 62","Based on 24 Critic Reviews, Based on 27 Critic Reviews"
Freud's Bones - The Game,25/5/2022,Axel Fox,Axel Fox,Adventure,Not Rated,7.9,11,PC,77,Based on 7 Critic Reviews
Turnip Boy Commits Tax Evasion,22/4/2021,Snoozy Kazoo,Graffiti Games,Action Adventure,Rated E +10 For Everyone +10,7.5,48,"PC, Nintendo Switch, Xbox One, PlayStation 4","72, 74, tbd, tbd","Based on 14 Critic Reviews, Based on 14 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews"
Tales of Legendia,7/2/2006,Namco,Namco,Action RPG,Rated T For Teen,7.9,36,PlayStation 2,72,Based on 37 Critic Reviews
Hatoful Boyfriend: Holiday Star,25/12/2012,Hato Moa,MIST[PSI]PRESS,Visual Novel,Not Rated,7.8,16,"PC, PlayStation 4, PlayStation Vita","54, 58, tbd","Based on 11 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review"
Cuphead,29/9/2017,Studio MDHR,Studio MDHR,2D Platformer,Rated E +10 For Everyone +10,8.5,1138,"Xbox One, PC, Nintendo Switch, PlayStation 4","86, 88, 87, 86","Based on 76 Critic Reviews, Based on 33 Critic Reviews, Based on 41 Critic Reviews, Based on 15 Critic Reviews"
ZEN Pinball 3D,12/1/2012,Zen Studios,Zen Studios,Pinball,Rated E +10 For Everyone +10,7.8,24,3DS,79,Based on 18 Critic Reviews
Ion Racer,16/3/2012,SGN,SGN,Auto Racing,Not Rated,6.894852313,,iOS (iPhone/iPad),74,Based on 8 Critic Reviews
The Beatles: Rock Band,9/9/2009,Harmonix Music Systems,MTV Games,Rhythm,Rated T For Teen,8.1,66,"PlayStation 3, Xbox 360, Wii","88, 89, 89","Based on 60 Critic Reviews, Based on 76 Critic Reviews, Based on 25 Critic Reviews"
Samurai Warriors Chronicles 3,30/6/2015,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Rated T For Teen,7.2,19,"3DS, PlayStation Vita","63, 70","Based on 13 Critic Reviews, Based on 9 Critic Reviews"
