Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Ziggurat (2012),17/2/2012,Action Button Entertainment,Freshuu Inc.,Action,Not Rated,6.9,14,iOS (iPhone/iPad),83,Based on 18 Critic Reviews
4X4 EVO 2,15/11/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,6.894852313,,"Xbox, PC, GameCube","59, 69, 56","Based on 15 Critic Reviews, Based on 9 Critic Reviews, Based on 7 Critic Reviews"
MotoGP 2 (2001),22/1/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,PlayStation 2,78,Based on 18 Critic Reviews
Gothic 3,14/11/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,PC,63,Based on 39 Critic Reviews
Siege Survival: Gloria Victis,18/5/2021,FishTankStudio,Black Eye Games,RPG,Not Rated,6.5,10,PC,69,Based on 12 Critic Reviews
Guitar Hero III: Legends of Rock,28/10/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,"Wii, PlayStation 2, PlayStation 3, Xbox 360, PC","86, 82, 83, 85, 79","Based on 36 Critic Reviews, Based on 24 Critic Reviews, Based on 45 Critic Reviews, Based on 69 Critic Reviews, Based on 15 Critic Reviews"
Frantix: A Puzzle Adventure,19/9/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,6.894852313,,PSP,59,Based on 29 Critic Reviews
Xenoraid,8/11/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,"PlayStation 4, PlayStation Vita, PC, Xbox One, iOS (iPhone/iPad), Nintendo Switch","65, 64, tbd, 68, tbd, 61","Based on 10 Critic Reviews, Based on 4 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 6 Critic Reviews"
The Sims: Livin' Large,27/8/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,PC,82,Based on 23 Critic Reviews
Retrovirus,16/11/2012,Cadenza,Cadenza,FPS,Not Rated,6.6,20,PC,70,Based on 12 Critic Reviews
Til Morning's Light,20/5/2015,WayForward,Amazon Game Studios,Action,Not Rated,6.4,7,iOS (iPhone/iPad),77,Based on 8 Critic Reviews
The Political Machine 2012,31/7/2012,Stardock,Stardock,Turn-Based Strategy,Not Rated,6.5,30,PC,54,Based on 8 Critic Reviews
"Warhammer 40,000: Space Marine",6/9/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,"PC, Xbox 360, PlayStation 3","74, 76, 70","Based on 34 Critic Reviews, Based on 57 Critic Reviews, Based on 46 Critic Reviews"
Star Wars Episode III: Revenge of the Sith,4/5/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,"PlayStation 2, Xbox, DS, Game Boy Advance","60, 61, 73, 73","Based on 34 Critic Reviews, Based on 44 Critic Reviews, Based on 22 Critic Reviews, Based on 13 Critic Reviews"
Saints Row IV,19/8/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,"PC, Xbox 360, PlayStation 3","86, 81, 76","Based on 45 Critic Reviews, Based on 42 Critic Reviews, Based on 26 Critic Reviews"
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,"GameCube, PC, PlayStation 2, Game Boy Advance","61, 62, 59, 67","Based on 17 Critic Reviews, Based on 12 Critic Reviews, Based on 17 Critic Reviews, Based on 6 Critic Reviews"
Lost Orbit,12/5/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,"PC, PlayStation 4","72, 77","Based on 6 Critic Reviews, Based on 19 Critic Reviews"
SwapQuest,23/2/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,"iOS (iPhone/iPad), PlayStation Vita, Xbox One, PlayStation 4","85, 64, tbd, 64","Based on 5 Critic Reviews, Based on 10 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews"
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,PC,86,Based on 23 Critic Reviews
Lumines,22/3/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,PSP,89,Based on 55 Critic Reviews
Armored Core 3,5/9/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,"PlayStation 2, PSP","74, 43","Based on 23 Critic Reviews, Based on 6 Critic Reviews"
Amped 2,28/10/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9,Xbox,80,Based on 34 Critic Reviews
Sword of the Stars II: Lords of Winter,28/10/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134,PC,44,Based on 14 Critic Reviews
Buzz! Junior: Dino Den,22/2/2008,Cohort Studios,SCEE,Trivia,Not Rated,6.894852313,,PlayStation 2,69,Based on 8 Critic Reviews
Neon White,16/6/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,190,"Nintendo Switch, PC, PlayStation 5","88, 89, 88","Based on 23 Critic Reviews, Based on 44 Critic Reviews, Based on 5 Critic Reviews"
BlazBlue: Continuum Shift Extend,14/2/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,102,"PlayStation Vita, Xbox 360, PlayStation 3","83, 79, 73","Based on 28 Critic Reviews, Based on 4 Critic Reviews, Based on 6 Critic Reviews"
Cosmic Star Heroine,14/8/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,33,"PlayStation 4, PlayStation Vita, PC, Nintendo Switch","76, tbd, 77, 78","Based on 8 Critic Reviews, Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 11 Critic Reviews"
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,21/3/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,11,"PlayStation 5, Meta Quest","72, tbd","Based on 23 Critic Reviews, Based on 2 Critic Reviews"
MXGP: The Official Motocross Videogame,18/11/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,14,"PlayStation 3, Xbox 360, PC, PlayStation 4","67, 68, tbd, 66","Based on 14 Critic Reviews, Based on 8 Critic Reviews, Based on 3 Critic Reviews, Based on 14 Critic Reviews"
Mortal Kombat XL,1/3/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,672,"Xbox One, PlayStation 4, PC","tbd, 85, 84","Based on 2 Critic Reviews, Based on 12 Critic Reviews, Based on 6 Critic Reviews"
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,27,"PlayStation 3, Xbox 360","73, 76","Based on 7 Critic Reviews, Based on 15 Critic Reviews"
Silent Hunter 5: Battle of the Atlantic,2/3/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,46,PC,62,Based on 26 Critic Reviews
Saban's Power Rangers Megaforce,5/11/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,12,3DS,30,Based on 7 Critic Reviews
Block Fortress,7/3/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),83,Based on 11 Critic Reviews
WWE 2K14,29/10/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,128,"Xbox 360, PlayStation 3","75, 74","Based on 43 Critic Reviews, Based on 22 Critic Reviews"
Murder by Numbers,6/3/2020,Mediatonic,The Irregular Corporation,Visual Novel,Not Rated,6.7,23,"PC, Nintendo Switch","79, 78","Based on 23 Critic Reviews, Based on 17 Critic Reviews"
Ratchet & Clank: Size Matters,13/2/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8,191,"PSP, PlayStation 2","85, 62","Based on 50 Critic Reviews, Based on 35 Critic Reviews"
Unepic,16/1/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,58,"PC, Wii U, Xbox One, PlayStation 4, PlayStation Vita, Nintendo Switch","68, 72, 75, 66, tbd, 65","Based on 5 Critic Reviews, Based on 19 Critic Reviews, Based on 6 Critic Reviews, Based on 9 Critic Reviews, Based on 3 Critic Reviews, Based on 4 Critic Reviews"
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,28/11/2006,EA LA,EA Games,Real-Time Strategy,Rated T For Teen,8.8,129,PC,78,Based on 22 Critic Reviews
MLB The Show 18,27/3/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,6.3,103,PlayStation 4,82,Based on 38 Critic Reviews
Smelter,22/4/2021,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,,"PlayStation 4, Nintendo Switch, PC, Xbox One","65, 75, 73, 82","Based on 6 Critic Reviews, Based on 9 Critic Reviews, Based on 5 Critic Reviews, Based on 4 Critic Reviews"
Ninjatown: Trees Of Doom!,5/5/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",Action,Not Rated,6.894852313,,iOS (iPhone/iPad),82,Based on 10 Critic Reviews
The Mage's Tale,20/6/2017,InXile Entertainment,InXile Entertainment,Adventure,Rated T For Teen,7.5,12,"PC, PlayStation 4","72, 69","Based on 12 Critic Reviews, Based on 11 Critic Reviews"
The Witcher 3: Wild Hunt - Blood and Wine,30/5/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,9.1,4208,"PC, PlayStation 4, Xbox One","92, 91, 94","Based on 52 Critic Reviews, Based on 27 Critic Reviews, Based on 7 Critic Reviews"
Port Royale 4,25/9/2020,Gaming Minds Studios,Kalypso,Management,Rated E +10 For Everyone +10,5.2,17,"PC, Nintendo Switch, Xbox One, PlayStation 4","68, tbd, 83, 67","Based on 20 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews, Based on 7 Critic Reviews"
Just Dance 2024 Edition,24/10/2023,Ubisoft,Ubisoft,Dancing,Rated E For Everyone,5.1,15,"Nintendo Switch, Xbox Series X, PlayStation 5","72, tbd, 68","Based on 11 Critic Reviews, Based on 1 Critic Review, Based on 8 Critic Reviews"
Dying Light,27/1/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,2143,"Xbox One, PC, PlayStation 4","74, 75, 74","Based on 26 Critic Reviews, Based on 40 Critic Reviews, Based on 58 Critic Reviews"
Tempo (2015),11/2/2015,Splash Damage,WARCHEST LIMITED,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),62,Based on 8 Critic Reviews
Conflict: Desert Storm,22/4/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,6,"Xbox, PC, PlayStation 2, GameCube","65, 56, 55, 62","Based on 14 Critic Reviews, Based on 4 Critic Reviews, Based on 10 Critic Reviews, Based on 19 Critic Reviews"
Cut the Rope: Time Travel,18/4/2013,ZeptoLab,ZeptoLab,Logic Puzzle,Not Rated,7,12,iOS (iPhone/iPad),84,Based on 15 Critic Reviews
Exerbeat,17/5/2011,Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7,7,Wii,60,Based on 9 Critic Reviews
Far Cry 3: Blood Dragon,1/5/2013,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,413,"Xbox 360, PlayStation 3, PC","80, 82, 81","Based on 51 Critic Reviews, Based on 24 Critic Reviews, Based on 31 Critic Reviews"
Yu-Gi-Oh! World Championship 2007,20/3/2007,Konami,Konami,Card Battle,Rated E For Everyone,7,20,DS,76,Based on 8 Critic Reviews
MotoGP 2,21/5/2003,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,,"Xbox, PC","87, 84","Based on 23 Critic Reviews, Based on 5 Critic Reviews"
Bug Heroes 2,19/2/2014,,,Action,Not Rated,6.1,8,iOS (iPhone/iPad),90,Based on 8 Critic Reviews
Swing Away Golf,25/10/2000,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,6.894852313,,PlayStation 2,78,Based on 15 Critic Reviews
Counter-Strike: Source,7/10/2004,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,1352,PC,88,Based on 9 Critic Reviews
Super Crush K.O.,16/1/2020,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,13,"Nintendo Switch, PC","77, 69","Based on 27 Critic Reviews, Based on 5 Critic Reviews"
Allegiance,31/3/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,18,PC,86,Based on 17 Critic Reviews
Harry Potter and the Prisoner of Azkaban,2/6/2004,EA Games,EA Games,Action Adventure,Rated E For Everyone,8,62,"PC, PlayStation 2, GameCube, Xbox","67, 70, 67, 67","Based on 19 Critic Reviews, Based on 29 Critic Reviews, Based on 22 Critic Reviews, Based on 23 Critic Reviews"
World of Final Fantasy,25/10/2016,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,411,"PlayStation 4, PlayStation Vita, PC","77, 77, 77","Based on 82 Critic Reviews, Based on 5 Critic Reviews, Based on 11 Critic Reviews"
Star Wars: Bounty Hunter,19/11/2002,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,43,"PlayStation 2, GameCube","65, 67","Based on 32 Critic Reviews, Based on 20 Critic Reviews"
Half-Life,19/11/1998,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,4847,"PC, PlayStation 2","96, 87","Based on 24 Critic Reviews, Based on 24 Critic Reviews"
Vader Immortal: Episode I,21/5/2019,ILMxLab,Disney Interactive Studios,First-Person Adventure,Not Rated,7,14,PC,78,Based on 8 Critic Reviews
Pool Panic,19/7/2018,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7,14,"Nintendo Switch, PC","71, tbd","Based on 19 Critic Reviews, Based on 3 Critic Reviews"
The Scourge Project: Episodes 1 and 2,9/4/2010,Tragnarion Studios,BITBOX S.L.,FPS,Not Rated,3.5,17,PC,44,Based on 8 Critic Reviews
Bejeweled Twist,27/10/2008,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,14,"PC, DS","78, 77","Based on 12 Critic Reviews, Based on 10 Critic Reviews"
Jak II,14/10/2003,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454,PlayStation 2,87,Based on 47 Critic Reviews
Senran Kagura Reflexions,13/9/2018,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,49,Nintendo Switch,39,Based on 18 Critic Reviews
World War II Online: Blitzkrieg,4/6/2001,Cornered Rat,Strategy First,FPS,Rated T For Teen,6.894852313,,PC,57,Based on 11 Critic Reviews
Arena of Valor,25/9/2018,TiMi Studios,Tencent,MOBA,Not Rated,6.7,60,"Nintendo Switch, iOS (iPhone/iPad)","79, tbd","Based on 8 Critic Reviews, Based on 3 Critic Reviews"
MLB 2006,8/3/2005,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,6.894852313,,PlayStation 2,81,Based on 32 Critic Reviews
Majesty 2: Kingmaker,26/3/2010,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,10,PC,60,Based on 8 Critic Reviews
Bird Mania 3D,3/5/2012,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,19,3DS,51,Based on 8 Critic Reviews
Heavy Fire: Red Shadow,16/10/2018,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,10,"Xbox One, PlayStation 4","40, 38","Based on 4 Critic Reviews, Based on 10 Critic Reviews"
TRON RUN/r,16/2/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,22,"PC, PlayStation 4, Xbox One","tbd, 64, tbd","Based on 1 Critic Review, Based on 9 Critic Reviews, Based on 2 Critic Reviews"
Traitors Gate,30/4/2000,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,5,PC,63,Based on 12 Critic Reviews
Resident Evil: Revelations,7/2/2012,Capcom,Capcom,Survival,Rated M For Mature,8.4,577,"PlayStation 3, 3DS, PC, Wii U, Xbox 360, Xbox One, PlayStation 4, Nintendo Switch","74, 82, 77, 80, 75, 78, 70, 78","Based on 30 Critic Reviews, Based on 78 Critic Reviews, Based on 12 Critic Reviews, Based on 19 Critic Reviews, Based on 30 Critic Reviews, Based on 6 Critic Reviews, Based on 32 Critic Reviews, Based on 19 Critic Reviews"
MechWarrior 4: Black Knight Expansion,31/10/2001,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,6.8,8,PC,78,Based on 10 Critic Reviews
Wallace & Gromit in Project Zoo,7/10/2003,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,39,"Xbox, GameCube, PlayStation 2","63, 66, 67","Based on 9 Critic Reviews, Based on 9 Critic Reviews, Based on 15 Critic Reviews"
Crusty Demons,27/6/2006,Climax Studios,Evolved Games,Arcade Racing,Rated M For Mature,6.894852313,,Xbox,51,Based on 21 Critic Reviews
N.O.V.A. 2 - Near Orbit Vanguard Alliance,16/12/2010,Gameloft,Gameloft,FPS,Not Rated,6.8,18,iOS (iPhone/iPad),90,Based on 10 Critic Reviews
Dark Arcana: The Carnival,17/3/2017,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,6.894852313,,"Xbox One, PlayStation 4","68, tbd","Based on 8 Critic Reviews, Based on 2 Critic Reviews"
Regalia: Of Men and Monarchs,18/5/2017,Pixelated Milk,Klabater,Turn-Based Tactics,Not Rated,7.7,39,PC,73,Based on 27 Critic Reviews
Train Fever,4/9/2014,Urban Games,Gambitious,Train Sim,Not Rated,6.9,93,PC,67,Based on 23 Critic Reviews
Star Trek: Elite Force II,25/6/2003,Ritual Entertainment,Activision,FPS,Rated T For Teen,8,40,PC,78,Based on 28 Critic Reviews
Street Supremacy,28/2/2006,Genki,Konami,Auto Racing Sim,Rated E For Everyone,6.894852313,,PSP,41,Based on 31 Critic Reviews
Tales of Symphonia Remastered,17/2/2023,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,3.8,23,"Nintendo Switch, PlayStation 4, Xbox One","63, 68, tbd","Based on 26 Critic Reviews, Based on 16 Critic Reviews, Based on 4 Critic Reviews"
War for the Overworld,2/4/2015,Subterranean Games,Subterranean Games,Real-Time Strategy,Not Rated,7.9,132,PC,65,Based on 14 Critic Reviews
Super Smash Bros. Ultimate,7/12/2018,Nintendo,Nintendo,2D Fighting,Rated E +10 For Everyone +10,8.6,4133,Nintendo Switch,93,Based on 110 Critic Reviews
Lotus Challenge,30/4/2003,Kuju Entertainment,Xicat Interactive,Auto Racing Sim,Rated E For Everyone,6.894852313,,Xbox,61,Based on 9 Critic Reviews
The Sims 2: Nightlife,13/9/2005,Maxis,EA Games,Virtual Life,Rated T For Teen,4.2,35,PC,76,Based on 31 Critic Reviews
Insurgency: Sandstorm,12/12/2018,New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,8,250,"PC, Xbox One, PlayStation 4","78, 83, 78","Based on 32 Critic Reviews, Based on 7 Critic Reviews, Based on 6 Critic Reviews"
Yo-kai Watch,6/11/2015,Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,8.1,220,3DS,76,Based on 69 Critic Reviews
The Great Circus Mystery Starring Mickey & Minnie,12/11/2003,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,6.894852313,,Game Boy Advance,63,Based on 8 Critic Reviews
MechCommander 2,18/7/2001,Microsoft Game Studios,Microsoft Game Studios,Strategy,Rated T For Teen,7.8,33,PC,80,Based on 18 Critic Reviews
Pirates vs Ninjas Dodgeball,3/9/2008,Blazing Lizard,SouthPeak Games,Individual Sports,Rated E +10 For Everyone +10,8,,"Xbox 360, Wii","44, 46","Based on 24 Critic Reviews, Based on 4 Critic Reviews"
After Us,23/5/2023,Piccolo,Private Division,Action Adventure,Rated T For Teen,6,31,"PlayStation 5, PC, Xbox Series X","65, 71, 76","Based on 38 Critic Reviews, Based on 12 Critic Reviews, Based on 8 Critic Reviews"
Gigantic Army,5/2/2014,Astro Port,Nyu Media,Action,Not Rated,6.7,10,"PC, Nintendo Switch","73, tbd","Based on 7 Critic Reviews, Based on 2 Critic Reviews"
SaGa Scarlet Grace: Ambitions,3/12/2019,Square Enix,Square Enix,JRPG,Rated T For Teen,6.3,16,"Nintendo Switch, PlayStation 4, PC, iOS (iPhone/iPad)","79, 76, tbd, tbd","Based on 5 Critic Reviews, Based on 11 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review"
Haven Park,5/8/2021,Bubble Studio,Mooneye Studios,Third-Person Adventure,Rated E For Everyone,7.5,11,"PC, Nintendo Switch","tbd, 68","Based on 2 Critic Reviews, Based on 8 Critic Reviews"
Capsized,5/7/2013,Koolhaus Games,Namco Bandai Games,2D Platformer,Rated T For Teen,6.8,20,"Xbox 360, PC","74, 80","Based on 22 Critic Reviews, Based on 19 Critic Reviews"
Pipe Mania,26/9/2008,Razorworks,Empire Interactive,Action Puzzle,Rated E For Everyone,6.894852313,,"DS, PlayStation 2, PC, PSP","71, 68, tbd, 74","Based on 13 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 6 Critic Reviews"
The Godfather,21/3/2006,Page 44 Studios,Electronic Arts,Open-World Action,Rated M For Mature,8.1,14,"PC, PlayStation 2, Xbox, Xbox 360, Wii, PlayStation 3","72, 75, 77, 77, 77, 70","Based on 32 Critic Reviews, Based on 56 Critic Reviews, Based on 58 Critic Reviews, Based on 51 Critic Reviews, Based on 38 Critic Reviews, Based on 31 Critic Reviews"
Raiden IV x Mikado Remix,31/1/2023,Moss,NIS America,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.894852313,,"Nintendo Switch, PlayStation 5, Xbox Series X, PC, Xbox One","85, 74, 78, tbd, tbd","Based on 6 Critic Reviews, Based on 10 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review"
Frostpunk,24/4/2018,11 bit studios,Merge Games,Management,Rated M For Mature,8.4,1009,"PC, Xbox One, PlayStation 4","84, 84, 87","Based on 70 Critic Reviews, Based on 9 Critic Reviews, Based on 18 Critic Reviews"
Phantasy Star Universe,25/10/2006,Sonic Team,Sega,Action RPG,Rated T For Teen,7.1,23,"PlayStation 2, PC, Xbox 360","68, 59, 64","Based on 18 Critic Reviews, Based on 19 Critic Reviews, Based on 34 Critic Reviews"
Disney/Pixar Toy Story Racer,5/3/2001,Traveller's Tales,Activision,Auto Racing,Rated E For Everyone,8,22,PlayStation,76,Based on 8 Critic Reviews
Harry Potter for Kinect,9/10/2012,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,4.7,21,Xbox 360,54,Based on 15 Critic Reviews
Narco Terror,31/7/2013,Koch Media,Deep Silver,Third Person Shooter,Rated M For Mature,5.9,13,"Xbox 360, PC, PlayStation 3","50, tbd, 55","Based on 13 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews"
Medieval Dynasty,17/12/2020,Render Cube,Toplitz Productions,Survival,Rated T For Teen,6.4,83,"PC, PlayStation 5, Xbox Series X","73, tbd, tbd","Based on 15 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews"
Max: The Curse of Brotherhood,20/12/2013,Press Play,Microsoft Game Studios,Action Adventure,Rated E +10 For Everyone +10,7.4,309,"Xbox 360, Xbox One, PC, PlayStation 4, Nintendo Switch","tbd, 72, tbd, 67, 73","Based on 2 Critic Reviews, Based on 51 Critic Reviews, Based on 3 Critic Reviews, Based on 9 Critic Reviews, Based on 13 Critic Reviews"
Need for Speed: ProStreet,15/11/2007,EA Black Box,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,7,73,"Xbox 360, Wii, PlayStation 3, PlayStation 2, PSP, DS, PC","72, 61, 73, 62, 57, 74, 70","Based on 42 Critic Reviews, Based on 16 Critic Reviews, Based on 26 Critic Reviews, Based on 11 Critic Reviews, Based on 14 Critic Reviews, Based on 8 Critic Reviews, Based on 18 Critic Reviews"
Saints Row IV: Re-Elected & Gat Out of Hell,20/1/2015,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,6.6,48,"Xbox One, PlayStation 4","tbd, 66","Based on 3 Critic Reviews, Based on 10 Critic Reviews"
Monster Jam Steel Titans 2,2/3/2021,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,4.6,5,"Xbox One, PlayStation 4, PC, Nintendo Switch","60, 61, 56, 56","Based on 8 Critic Reviews, Based on 11 Critic Reviews, Based on 7 Critic Reviews, Based on 5 Critic Reviews"
Picross S 3,25/4/2019,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,8.3,14,Nintendo Switch,78,Based on 7 Critic Reviews
Mighty Goose,5/6/2021,Blastmode,Playism,2D Platformer,Rated E +10 For Everyone +10,7.5,13,"Nintendo Switch, PC, PlayStation 4, Xbox One, PlayStation 5","74, 71, tbd, tbd, tbd","Based on 16 Critic Reviews, Based on 7 Critic Reviews, Based on 3 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews"
World War II: Frontline Command,27/6/2003,The Bitmap Brothers,Strategy First,Real-Time Strategy,Rated T For Teen,6,,PC,70,Based on 16 Critic Reviews
Vempire,22/10/2009,impressionware,impressionware,Logic Puzzle,Rated E For Everyone,6.894852313,,PSP,66,Based on 9 Critic Reviews
World War II: Prisoner of War,26/8/2002,Wide Games,Codemasters,Third Person Shooter,Rated T For Teen,5.5,,"PC, Xbox","64, 64","Based on 12 Critic Reviews, Based on 20 Critic Reviews"
ESPN Final Round Golf 2002,28/8/2001,Konami Computer Entertainment Nagoya,Konami,Golf Sim,Rated E For Everyone,6.894852313,,Game Boy Advance,70,Based on 10 Critic Reviews
Tak and the Power of Juju,15/10/2003,Avalanche Software,THQ,3D Platformer,Rated E For Everyone,7.6,12,"PlayStation 2, GameCube","68, 71","Based on 28 Critic Reviews, Based on 16 Critic Reviews"
Game of Thrones,15/5/2012,Cyanide,Atlus,Western RPG,Rated M For Mature,5.2,130,"PlayStation 3, Xbox 360, PC","53, 52, 58","Based on 14 Critic Reviews, Based on 35 Critic Reviews, Based on 23 Critic Reviews"
Where's My Perry?,28/6/2012,,,Puzzle,Rated RP For Rate Pending,6.6,9,iOS (iPhone/iPad),84,Based on 10 Critic Reviews
Bleach: The Blade of Fate,9/10/2007,Treasure,Sega,2D Fighting,Rated T For Teen,6.1,19,DS,83,Based on 32 Critic Reviews
EGGLIA Rebirth,10/2/2022,Brownies,Brownies,JRPG,Rated E For Everyone,6.894852313,,Nintendo Switch,65,Based on 11 Critic Reviews
Wonderputt,13/9/2012,Damp Gnat Ltd,Damp Gnat Ltd,Adventure,Not Rated,6.894852313,,iOS (iPhone/iPad),77,Based on 7 Critic Reviews
Crazy Taxi (1999),24/11/2010,Hitmaker,Sega,Auto Racing,Rated E +10 For Everyone +10,7.3,30,"PlayStation 2, PC, GameCube, PlayStation 3, Xbox 360, iOS (iPhone/iPad)","80, tbd, 69, 60, 59, 78","Based on 15 Critic Reviews, Based on 3 Critic Reviews, Based on 20 Critic Reviews, Based on 19 Critic Reviews, Based on 28 Critic Reviews, Based on 16 Critic Reviews"
Commanders: Attack,13/2/2008,Southend Interactive,Sierra Online,Turn-Based Tactics,Rated E +10 For Everyone +10,8,5,Xbox 360,72,Based on 26 Critic Reviews
Nostradamus: The Last Prophecy,30/9/2007,Kheops Studio,MC2 Entertainment,Adventure,Rated E +10 For Everyone +10,6.4,11,PC,70,Based on 10 Critic Reviews
